Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
105,855,species,Rusty-margined Guan,Penelope superciliaris,2,"Iguazu National Park, Iguazú AR-Misiones (-25.6749,-54.4554)",AR-N,20 Jul 2019,L9670960,S58324316,,1
106,33389,species,Chopi Blackbird,Gnorimopsar chopi,4,PN Iguazú--Área Cataratas,AR-N,19 Jul 2019,L472205,S58303528,,1
107,10705,species,Toco Toucan,Ramphastos toco,1,PN Iguazú--Área Cataratas,AR-N,19 Jul 2019,L472205,S58303528,,1
108,10681,species,Chestnut-eared Aracari,Pteroglossus castanotis,3,PN Iguazú--Área Cataratas,AR-N,19 Jul 2019,L472205,S58303528,,1
109,3815,species,Great Dusky Swift,Cypseloides senex,30,PN Iguazú--Área Cataratas,AR-N,19 Jul 2019,L472205,S58303528,,1
110,34521,species,Green-headed Tanager,Tangara seledon,2,Hospedaje José Gorgues (y alrededores),AR-N,19 Jul 2019,L9662022,S58303339,,1
111,33134,species,Red-rumped Cacique,Cacicus haemorrhous,1,Hospedaje José Gorgues (y alrededores),AR-N,19 Jul 2019,L9662022,S58303339,,1
112,31504,species,Violaceous Euphonia,Euphonia violacea,7,Hospedaje José Gorgues (y alrededores),AR-N,19 Jul 2019,L9662022,S58303339,,1
113,31482,species,Purple-throated Euphonia,Euphonia chlorotica,1,Hospedaje José Gorgues (y alrededores),AR-N,19 Jul 2019,L9662022,S58303339,,1
114,27995,species,Pale-breasted Thrush,Turdus leucomelas,1,Hospedaje José Gorgues (y alrededores),AR-N,19 Jul 2019,L9662022,S58303339,,1
115,5135,species,White-throated Hummingbird,Leucochloris albicollis,5,Hospedaje José Gorgues (y alrededores),AR-N,19 Jul 2019,L9662022,S58303339,,1
116,5103,species,Versicolored Emerald,Chrysuronia versicolor,5,Hospedaje José Gorgues (y alrededores),AR-N,19 Jul 2019,L9662022,S58303339,,1
117,4308,species,Scale-throated Hermit,Phaethornis eurynome,1,Hospedaje José Gorgues (y alrededores),AR-N,19 Jul 2019,L9662022,S58303339,,1
118,4206,species,Black Jacobin,Florisuga fusca,4,Hospedaje José Gorgues (y alrededores),AR-N,19 Jul 2019,L9662022,S58303339,,1
119,2286,species,Ruddy Ground Dove,Columbina talpacoti,5,Hospedaje José Gorgues (y alrededores),AR-N,19 Jul 2019,L9662022,S58303339,,1
120,16855,species,Streamer-tailed Tyrant,Gubernetes yetapa,1,"Ruta Provincial 41, Santo Tome AR-Corrientes (-28.1778,-56.7094)",AR-W,18 Jul 2019,L9662034,S58280345,,1
121,8608,species,Tropical Screech-Owl,Megascops choliba,1,Laguna Iberá--Centro de Interpretación Aguas Brillantes,AR-W,17 Jul 2019,L3913244,S58261067,,1
122,3572,species,Little Nightjar,Setopagis parvula,1,Laguna Iberá--Centro de Interpretación Aguas Brillantes,AR-W,17 Jul 2019,L3913244,S58261067,,1
123,35084,species,Yellow Cardinal,Gubernatrix cristata,1,PN Iberá--Portal Laguna Iberá (Carlos Pellegrini y Laguna Iberá),AR-W,17 Jul 2019,L484766,S58262324,,1
124,34225,species,White-lined Tanager,Tachyphonus rufus,2,PN Iberá--Portal Laguna Iberá (Carlos Pellegrini y Laguna Iberá),AR-W,17 Jul 2019,L484766,S58262324,,1
125,33415,species,Yellow-rumped Marshbird,Pseudoleistes guirahuro,12,PN Iberá--Portal Laguna Iberá (Carlos Pellegrini y Laguna Iberá),AR-W,17 Jul 2019,L484766,S58262324,,1
126,16756,species,Blue-billed Black-Tyrant,Knipolegus cyanirostris,1,PN Iberá--Portal Laguna Iberá (Carlos Pellegrini y Laguna Iberá),AR-W,17 Jul 2019,L484766,S58262324,,1
127,16055,species,Pearly-vented Tody-Tyrant,Hemitriccus margaritaceiventer,1,PN Iberá--Portal Laguna Iberá (Carlos Pellegrini y Laguna Iberá),AR-W,17 Jul 2019,L484766,S58262324,,1
128,15257,species,Yellow-chinned Spinetail,Certhiaxis cinnamomeus,4,PN Iberá--Portal Laguna Iberá (Carlos Pellegrini y Laguna Iberá),AR-W,17 Jul 2019,L484766,S58262324,,1
129,8225,species,Great Black Hawk,Buteogallus urubitinga,1,PN Iberá--Portal Laguna Iberá (Carlos Pellegrini y Laguna Iberá),AR-W,17 Jul 2019,L484766,S58262324,,1
130,7944,species,Long-winged Harrier,Circus buffoni,1,PN Iberá--Portal Laguna Iberá (Carlos Pellegrini y Laguna Iberá),AR-W,17 Jul 2019,L484766,S58262324,,1
